"age","current","former","qx","rate","current_rate","former_rate","current_excess_rate","former_excess_rate","current_excess_prob","former_excess_prob"
0,21.0006750709731,4.13736079544677,0.000465743118257866,0.000465851610271549,0.00978319829860241,0.00192739618883325,0.00931734668833086,0.0014615445785617,0.00927407471129715,0.00146047704243135
1,20.4012926131123,4.0433400177431,0.0000315904541420275,0.0000315909531309329,0.000644496278751277,0.000127732964992948,0.000612905325620345,0.0000961420118620148,0.000612717537518681,0.0000961373903668461
2,19.8198725154976,3.95213686517609,0.0000194675676840061,0.0000194677571795613,0.000385848465461567,0.0000769392408316406,0.000366380708282006,0.0000574714836520794,0.000366313599066359,0.0000574698321980094
3,19.2558764801169,3.86366689884186,0.0000149867429843908,0.0000149868552867455,0.000288585034226958,0.0000579042166891318,0.000273598178940213,0.0000429173614023863,0.000273560754371682,0.0000429164404656124
4,18.7087823407327,3.77784821031101,0.0000120879178675537,0.0000120879909270216,0.0002261515911904,0.0000456665948899045,0.000214063600263378,0.0000335786039628828,0.000214040690285633,0.0000335780402078711
5,18.1780835794436,3.69460134579507,0.0000114158514401552,0.0000114159166014832,0.000207519486117719,0.0000421772608393241,0.000196103569516236,0.0000307613442378409,0.000196084342468095,0.000030760871112534
6,17.663288857733,3.61384923258557,0.0000103662828109252,0.0000103663365412062,0.000183103596723798,0.0000374623773541617,0.000172737260182591,0.0000270960408129555,0.000172722341961085,0.0000270956737185024
7,17.1639215615716,3.53551710769751,0.00000953133048076094,0.00000953137590417993,0.000163595788393198,0.000033698342569124,0.000154064412489018,0.0000241669666649441,0.000154052545176864,0.0000241666746461089
8,16.6795193601527,3.4595324486514,0.00000875643278497318,0.00000875647112275454,0.000146053729618602,0.0000302932959848483,0.000137297258495848,0.0000215368248620937,0.000137287833658628,0.0000215365929463474
9,16.2096337778503,3.38582490632946,0.00000811498608188632,0.00000811501900856401,0.000131541486229116,0.000027476033474533,0.000123426467220552,0.000019361014465969,0.0001234188504875,0.0000193608270427914
10,15.7538297790062,3.3143262398441,0.00000791433992552992,0.0000079143712440834,0.000124681657387151,0.0000262308082861332,0.000116767286143068,0.0000183164370420498,0.000116760469108801,0.0000183162692971583
11,15.3116853651591,3.24497025335829,0.00000865827981100242,0.00000865831729412343,0.000132573430199333,0.0000280959820635681,0.00012391511290521,0.0000194376647694447,0.000123907435744752,0.0000194374758593074
12,14.8827911843447,3.17769273479916,0.0000109304441813229,0.0000109305039190632,0.000162676407367079,0.0000347337828913011,0.000151745903448016,0.0000238032789722378,0.000151734390620772,0.0000238029956763919
13,14.4667501521038,3.11243139640844,0.0000150714357920467,0.0000150715493672763,0.000218036339101485,0.0000469091634432306,0.000202964789734208,0.0000318376140759543,0.000202944193774757,0.0000318371072645096
14,14.0631770838487,3.04912581707431,0.0000207027815708472,0.0000207029958763874,0.000291149897175825,0.0000631260392174756,0.000270446901299438,0.0000424230433410883,0.000270410333832793,0.0000424221434964789
15,13.6716983382462,2.98771738639155,0.0000269712509604059,0.0000269716146911352,0.000368747779752609,0.0000805835621517586,0.000341776165061474,0.0000536119474606234,0.000341717766241256,0.0000536105103658979
16,13.291951471288,2.92814925039812,0.0000334131243038271,0.0000334136825346999,0.000444133046728256,0.0000978402494670224,0.000410719364193556,0.0000644265669323225,0.000410635030541728,0.0000644244915856129
17,12.9235849007287,2.87036625893783,0.0000402839713571357,0.0000402847827781014,0.000520623810440205,0.000115632081234902,0.000480339027662104,0.0000753472984568006,0.00048022368334022,0.0000753444599204123
18,12.5662575805782,2.8143149146005,0.0000474393861017441,0.0000474405113850096,0.000596149685818382,0.000133512538747107,0.000548709174433373,0.0000860720273620977,0.000548558661084941,0.0000860683232714043
19,12.219638685351,2.75994332319231,0.0000547265581600787,0.0000547280557128002,0.000668757066762177,0.00015104633195584,0.000614029011049377,0.0000963182762430396,0.000613840533814969,0.0000963136377868379
20,11.8834073037765,2.70720114569043,0.0000623688523756494,0.0000623707973933955,0.000741177589287038,0.000168850294161026,0.000678806791893642,0.00010647949676763,0.000678576454684388,0.000106473828027198
21,11.5572521416887,2.65603955163744,0.0000699267065351616,0.0000699291515212856,0.00080818883618585,0.000185734592252982,0.000738259684664565,0.000115805440731696,0.0007379872380332,0.000115798735540462
22,11.2408712338199,2.60641117393254,0.0000764315294913276,0.0000764344505295183,0.000859189816230096,0.000199219605933531,0.000782755365700578,0.000122785155404012,0.000782449092636806,0.000122777617615366
23,10.9339716642313,2.55827006497746,0.0000813424137409147,0.0000813457222144653,0.000889431821699396,0.000208104326055239,0.000808086099484931,0.000126758603840773,0.000807759685842235,0.00012675057030842
24,10.6362692951214,2.51157165413669,0.0000850066969012575,0.0000850103101752863,0.000904192551886142,0.000213509485345617,0.000819182241710855,0.00012849917517033,0.000818846803539497,0.000128490919504953
25,10.3474885037619,2.46627270647246,0.0000881658791543893,0.0000881697659939723,0.000912335640002007,0.000217450687406997,0.000824165874008034,0.000129280921413025,0.000823826342597256,0.000129272564994842
26,10.0673619273174,2.42233128271645,0.0000914592417550208,0.0000914634244065021,0.000920795396612092,0.000221554714164242,0.00082933197220559,0.00013009128975774,0.000828988171493683,0.000130082828252887
27,9.79563021531149,2.37970670044102,0.0000950071237132422,0.0000950116371758966,0.000930698863926426,0.000226099829607352,0.000835687226750529,0.000131088192431455,0.000835338137429975,0.000131079600749762
28,9.53204178951182,2.33835949639401,0.0000991959504154094,0.0000992008706590803,0.00094558684467831,0.000231967297956215,0.00084638597401923,0.000132766427297134,0.000846027890443524,0.000132757614225043
29,9.27635261101049,2.29825138996243,0.000104024790666957,0.000104030201620745,0.00096502083242855,0.00023908755547295,0.000860990630807804,0.000135057353852205,0.00086062008472787,0.000135048234018331
