"stochastic_num","p_trans_hcv","rel_infect","sx_rel","sherlock_id_group","sherlock_id","edge_iter","scenario_id"
1,0.005,1.2,2,15,1,1,1
2,0.005,1.2,2,15,2,1,1
3,0.005,1.2,2,15,3,1,1
4,0.005,1.2,2,15,4,1,1
5,0.005,1.2,2,15,5,1,1
1,0.0055,1.2,2,15,6,1,1
2,0.0055,1.2,2,15,7,1,1
3,0.0055,1.2,2,15,8,1,1
4,0.0055,1.2,2,15,9,1,1
5,0.0055,1.2,2,15,10,1,1
1,0.006,1.2,2,16,1,1,1
2,0.006,1.2,2,16,2,1,1
3,0.006,1.2,2,16,3,1,1
4,0.006,1.2,2,16,4,1,1
5,0.006,1.2,2,16,5,1,1
1,0.0065,1.2,2,16,6,1,1
2,0.0065,1.2,2,16,7,1,1
3,0.0065,1.2,2,16,8,1,1
4,0.0065,1.2,2,16,9,1,1
5,0.0065,1.2,2,16,10,1,1
1,0.007,1.2,2,17,1,1,1
2,0.007,1.2,2,17,2,1,1
3,0.007,1.2,2,17,3,1,1
4,0.007,1.2,2,17,4,1,1
5,0.007,1.2,2,17,5,1,1
1,0.0075,1.2,2,17,6,1,1
2,0.0075,1.2,2,17,7,1,1
3,0.0075,1.2,2,17,8,1,1
4,0.0075,1.2,2,17,9,1,1
5,0.0075,1.2,2,17,10,1,1
1,0.008,1.2,2,18,1,1,1
2,0.008,1.2,2,18,2,1,1
3,0.008,1.2,2,18,3,1,1
4,0.008,1.2,2,18,4,1,1
5,0.008,1.2,2,18,5,1,1
1,0.0085,1.2,2,18,6,1,1
2,0.0085,1.2,2,18,7,1,1
3,0.0085,1.2,2,18,8,1,1
4,0.0085,1.2,2,18,9,1,1
5,0.0085,1.2,2,18,10,1,1
1,0.009,1.2,2,19,1,1,1
2,0.009,1.2,2,19,2,1,1
3,0.009,1.2,2,19,3,1,1
4,0.009,1.2,2,19,4,1,1
5,0.009,1.2,2,19,5,1,1
1,0.0095,1.2,2,19,6,1,1
2,0.0095,1.2,2,19,7,1,1
3,0.0095,1.2,2,19,8,1,1
4,0.0095,1.2,2,19,9,1,1
5,0.0095,1.2,2,19,10,1,1
1,0.01,1.2,2,20,1,1,1
2,0.01,1.2,2,20,2,1,1
3,0.01,1.2,2,20,3,1,1
4,0.01,1.2,2,20,4,1,1
5,0.01,1.2,2,20,5,1,1
1,0.004,1.3,2,20,6,1,1
2,0.004,1.3,2,20,7,1,1
3,0.004,1.3,2,20,8,1,1
4,0.004,1.3,2,20,9,1,1
5,0.004,1.3,2,20,10,1,1
1,0.0045,1.3,2,21,1,1,1
2,0.0045,1.3,2,21,2,1,1
3,0.0045,1.3,2,21,3,1,1
4,0.0045,1.3,2,21,4,1,1
5,0.0045,1.3,2,21,5,1,1
1,0.005,1.3,2,21,6,1,1
2,0.005,1.3,2,21,7,1,1
3,0.005,1.3,2,21,8,1,1
4,0.005,1.3,2,21,9,1,1
5,0.005,1.3,2,21,10,1,1
1,0.0055,1.3,2,22,1,1,1
2,0.0055,1.3,2,22,2,1,1
3,0.0055,1.3,2,22,3,1,1
4,0.0055,1.3,2,22,4,1,1
5,0.0055,1.3,2,22,5,1,1
