"stochastic_num","edge_iter","p_ssp","cessation_rate","p_treat_hcv","p_test_hcv","p_ltfu_hiv","scenario_id","sherlock_id_group","sherlock_id"
1,1,0.53,0.013,0.207552,0.0083980795710431,0.0292855303767776,1,1,1
1,1,0.68,0.013,0.207552,0.0083980795710431,0.0292855303767776,2,1,2
1,1,0.83,0.013,0.207552,0.0083980795710431,0.0292855303767776,3,1,3
1,1,0.53,0.0255,0.207552,0.0083980795710431,0.0292855303767776,4,1,4
1,1,0.68,0.0255,0.207552,0.0083980795710431,0.0292855303767776,5,1,5
1,1,0.83,0.0255,0.207552,0.0083980795710431,0.0292855303767776,6,1,6
1,1,0.53,0.038,0.207552,0.0083980795710431,0.0292855303767776,7,1,7
1,1,0.68,0.038,0.207552,0.0083980795710431,0.0292855303767776,8,1,8
1,1,0.83,0.038,0.207552,0.0083980795710431,0.0292855303767776,9,1,9
1,1,0.53,0.013,0.342912,0.0684762028381091,0.0110659331391373,10,1,10
1,1,0.68,0.013,0.342912,0.0684762028381091,0.0110659331391373,11,2,1
1,1,0.83,0.013,0.342912,0.0684762028381091,0.0110659331391373,12,2,2
1,1,0.53,0.0255,0.342912,0.0684762028381091,0.0110659331391373,13,2,3
1,1,0.68,0.0255,0.342912,0.0684762028381091,0.0110659331391373,14,2,4
1,1,0.83,0.0255,0.342912,0.0684762028381091,0.0110659331391373,15,2,5
1,1,0.53,0.038,0.342912,0.0684762028381091,0.0110659331391373,16,2,6
1,1,0.68,0.038,0.342912,0.0684762028381091,0.0110659331391373,17,2,7
1,1,0.83,0.038,0.342912,0.0684762028381091,0.0110659331391373,18,2,8
1,1,0.53,0.013,0.478272,0.17793313432079,0.00168214255273957,19,2,9
1,1,0.68,0.013,0.478272,0.17793313432079,0.00168214255273957,20,2,10
1,1,0.83,0.013,0.478272,0.17793313432079,0.00168214255273957,21,3,1
1,1,0.53,0.0255,0.478272,0.17793313432079,0.00168214255273957,22,3,2
1,1,0.68,0.0255,0.478272,0.17793313432079,0.00168214255273957,23,3,3
1,1,0.83,0.0255,0.478272,0.17793313432079,0.00168214255273957,24,3,4
1,1,0.53,0.038,0.478272,0.17793313432079,0.00168214255273957,25,3,5
1,1,0.68,0.038,0.478272,0.17793313432079,0.00168214255273957,26,3,6
1,1,0.83,0.038,0.478272,0.17793313432079,0.00168214255273957,27,3,7
2,1,0.53,0.013,0.207552,0.0083980795710431,0.0292855303767776,1,3,8
2,1,0.68,0.013,0.207552,0.0083980795710431,0.0292855303767776,2,3,9
2,1,0.83,0.013,0.207552,0.0083980795710431,0.0292855303767776,3,3,10
2,1,0.53,0.0255,0.207552,0.0083980795710431,0.0292855303767776,4,4,1
2,1,0.68,0.0255,0.207552,0.0083980795710431,0.0292855303767776,5,4,2
2,1,0.83,0.0255,0.207552,0.0083980795710431,0.0292855303767776,6,4,3
2,1,0.53,0.038,0.207552,0.0083980795710431,0.0292855303767776,7,4,4
2,1,0.68,0.038,0.207552,0.0083980795710431,0.0292855303767776,8,4,5
2,1,0.83,0.038,0.207552,0.0083980795710431,0.0292855303767776,9,4,6
2,1,0.53,0.013,0.342912,0.0684762028381091,0.0110659331391373,10,4,7
2,1,0.68,0.013,0.342912,0.0684762028381091,0.0110659331391373,11,4,8
2,1,0.83,0.013,0.342912,0.0684762028381091,0.0110659331391373,12,4,9
2,1,0.53,0.0255,0.342912,0.0684762028381091,0.0110659331391373,13,4,10
2,1,0.68,0.0255,0.342912,0.0684762028381091,0.0110659331391373,14,5,1
2,1,0.83,0.0255,0.342912,0.0684762028381091,0.0110659331391373,15,5,2
2,1,0.53,0.038,0.342912,0.0684762028381091,0.0110659331391373,16,5,3
2,1,0.68,0.038,0.342912,0.0684762028381091,0.0110659331391373,17,5,4
2,1,0.83,0.038,0.342912,0.0684762028381091,0.0110659331391373,18,5,5
2,1,0.53,0.013,0.478272,0.17793313432079,0.00168214255273957,19,5,6
2,1,0.68,0.013,0.478272,0.17793313432079,0.00168214255273957,20,5,7
2,1,0.83,0.013,0.478272,0.17793313432079,0.00168214255273957,21,5,8
2,1,0.53,0.0255,0.478272,0.17793313432079,0.00168214255273957,22,5,9
2,1,0.68,0.0255,0.478272,0.17793313432079,0.00168214255273957,23,5,10
2,1,0.83,0.0255,0.478272,0.17793313432079,0.00168214255273957,24,6,1
2,1,0.53,0.038,0.478272,0.17793313432079,0.00168214255273957,25,6,2
2,1,0.68,0.038,0.478272,0.17793313432079,0.00168214255273957,26,6,3
2,1,0.83,0.038,0.478272,0.17793313432079,0.00168214255273957,27,6,4
3,1,0.53,0.013,0.207552,0.0083980795710431,0.0292855303767776,1,6,5
3,1,0.68,0.013,0.207552,0.0083980795710431,0.0292855303767776,2,6,6
3,1,0.83,0.013,0.207552,0.0083980795710431,0.0292855303767776,3,6,7
3,1,0.53,0.0255,0.207552,0.0083980795710431,0.0292855303767776,4,6,8
3,1,0.68,0.0255,0.207552,0.0083980795710431,0.0292855303767776,5,6,9
3,1,0.83,0.0255,0.207552,0.0083980795710431,0.0292855303767776,6,6,10
3,1,0.53,0.038,0.207552,0.0083980795710431,0.0292855303767776,7,7,1
3,1,0.68,0.038,0.207552,0.0083980795710431,0.0292855303767776,8,7,2
3,1,0.83,0.038,0.207552,0.0083980795710431,0.0292855303767776,9,7,3
3,1,0.53,0.013,0.342912,0.0684762028381091,0.0110659331391373,10,7,4
3,1,0.68,0.013,0.342912,0.0684762028381091,0.0110659331391373,11,7,5
3,1,0.83,0.013,0.342912,0.0684762028381091,0.0110659331391373,12,7,6
3,1,0.53,0.0255,0.342912,0.0684762028381091,0.0110659331391373,13,7,7
3,1,0.68,0.0255,0.342912,0.0684762028381091,0.0110659331391373,14,7,8
3,1,0.83,0.0255,0.342912,0.0684762028381091,0.0110659331391373,15,7,9
3,1,0.53,0.038,0.342912,0.0684762028381091,0.0110659331391373,16,7,10
3,1,0.68,0.038,0.342912,0.0684762028381091,0.0110659331391373,17,8,1
3,1,0.83,0.038,0.342912,0.0684762028381091,0.0110659331391373,18,8,2
3,1,0.53,0.013,0.478272,0.17793313432079,0.00168214255273957,19,8,3
3,1,0.68,0.013,0.478272,0.17793313432079,0.00168214255273957,20,8,4
3,1,0.83,0.013,0.478272,0.17793313432079,0.00168214255273957,21,8,5
3,1,0.53,0.0255,0.478272,0.17793313432079,0.00168214255273957,22,8,6
3,1,0.68,0.0255,0.478272,0.17793313432079,0.00168214255273957,23,8,7
3,1,0.83,0.0255,0.478272,0.17793313432079,0.00168214255273957,24,8,8
3,1,0.53,0.038,0.478272,0.17793313432079,0.00168214255273957,25,8,9
3,1,0.68,0.038,0.478272,0.17793313432079,0.00168214255273957,26,8,10
3,1,0.83,0.038,0.478272,0.17793313432079,0.00168214255273957,27,9,1
4,1,0.53,0.013,0.207552,0.0083980795710431,0.0292855303767776,1,9,2
4,1,0.68,0.013,0.207552,0.0083980795710431,0.0292855303767776,2,9,3
4,1,0.83,0.013,0.207552,0.0083980795710431,0.0292855303767776,3,9,4
4,1,0.53,0.0255,0.207552,0.0083980795710431,0.0292855303767776,4,9,5
4,1,0.68,0.0255,0.207552,0.0083980795710431,0.0292855303767776,5,9,6
4,1,0.83,0.0255,0.207552,0.0083980795710431,0.0292855303767776,6,9,7
4,1,0.53,0.038,0.207552,0.0083980795710431,0.0292855303767776,7,9,8
4,1,0.68,0.038,0.207552,0.0083980795710431,0.0292855303767776,8,9,9
4,1,0.83,0.038,0.207552,0.0083980795710431,0.0292855303767776,9,9,10
4,1,0.53,0.013,0.342912,0.0684762028381091,0.0110659331391373,10,10,1
4,1,0.68,0.013,0.342912,0.0684762028381091,0.0110659331391373,11,10,2
4,1,0.83,0.013,0.342912,0.0684762028381091,0.0110659331391373,12,10,3
4,1,0.53,0.0255,0.342912,0.0684762028381091,0.0110659331391373,13,10,4
4,1,0.68,0.0255,0.342912,0.0684762028381091,0.0110659331391373,14,10,5
4,1,0.83,0.0255,0.342912,0.0684762028381091,0.0110659331391373,15,10,6
4,1,0.53,0.038,0.342912,0.0684762028381091,0.0110659331391373,16,10,7
4,1,0.68,0.038,0.342912,0.0684762028381091,0.0110659331391373,17,10,8
4,1,0.83,0.038,0.342912,0.0684762028381091,0.0110659331391373,18,10,9
4,1,0.53,0.013,0.478272,0.17793313432079,0.00168214255273957,19,10,10
4,1,0.68,0.013,0.478272,0.17793313432079,0.00168214255273957,20,11,1
4,1,0.83,0.013,0.478272,0.17793313432079,0.00168214255273957,21,11,2
4,1,0.53,0.0255,0.478272,0.17793313432079,0.00168214255273957,22,11,3
4,1,0.68,0.0255,0.478272,0.17793313432079,0.00168214255273957,23,11,4
4,1,0.83,0.0255,0.478272,0.17793313432079,0.00168214255273957,24,11,5
4,1,0.53,0.038,0.478272,0.17793313432079,0.00168214255273957,25,11,6
4,1,0.68,0.038,0.478272,0.17793313432079,0.00168214255273957,26,11,7
4,1,0.83,0.038,0.478272,0.17793313432079,0.00168214255273957,27,11,8
5,1,0.53,0.013,0.207552,0.0083980795710431,0.0292855303767776,1,11,9
5,1,0.68,0.013,0.207552,0.0083980795710431,0.0292855303767776,2,11,10
5,1,0.83,0.013,0.207552,0.0083980795710431,0.0292855303767776,3,12,1
5,1,0.53,0.0255,0.207552,0.0083980795710431,0.0292855303767776,4,12,2
5,1,0.68,0.0255,0.207552,0.0083980795710431,0.0292855303767776,5,12,3
5,1,0.83,0.0255,0.207552,0.0083980795710431,0.0292855303767776,6,12,4
5,1,0.53,0.038,0.207552,0.0083980795710431,0.0292855303767776,7,12,5
5,1,0.68,0.038,0.207552,0.0083980795710431,0.0292855303767776,8,12,6
5,1,0.83,0.038,0.207552,0.0083980795710431,0.0292855303767776,9,12,7
5,1,0.53,0.013,0.342912,0.0684762028381091,0.0110659331391373,10,12,8
5,1,0.68,0.013,0.342912,0.0684762028381091,0.0110659331391373,11,12,9
5,1,0.83,0.013,0.342912,0.0684762028381091,0.0110659331391373,12,12,10
5,1,0.53,0.0255,0.342912,0.0684762028381091,0.0110659331391373,13,13,1
5,1,0.68,0.0255,0.342912,0.0684762028381091,0.0110659331391373,14,13,2
5,1,0.83,0.0255,0.342912,0.0684762028381091,0.0110659331391373,15,13,3
5,1,0.53,0.038,0.342912,0.0684762028381091,0.0110659331391373,16,13,4
5,1,0.68,0.038,0.342912,0.0684762028381091,0.0110659331391373,17,13,5
5,1,0.83,0.038,0.342912,0.0684762028381091,0.0110659331391373,18,13,6
5,1,0.53,0.013,0.478272,0.17793313432079,0.00168214255273957,19,13,7
5,1,0.68,0.013,0.478272,0.17793313432079,0.00168214255273957,20,13,8
5,1,0.83,0.013,0.478272,0.17793313432079,0.00168214255273957,21,13,9
5,1,0.53,0.0255,0.478272,0.17793313432079,0.00168214255273957,22,13,10
5,1,0.68,0.0255,0.478272,0.17793313432079,0.00168214255273957,23,14,1
5,1,0.83,0.0255,0.478272,0.17793313432079,0.00168214255273957,24,14,2
